x,y,z
668859,263.189,0.00942723
668858,263.189,0.00942723
668857,263.189,0.00907733
668856,263.189,0.00907733
668862,263.296,0.00824682
668861,263.296,0.00824682
668859,263.296,0.0123491
668858,263.296,0.0123491
668857,263.296,0.011737
668856,263.296,0.011737
668862,263.403,0.00995691
668861,263.403,0.00995691
668859,263.404,0.010723
668858,263.404,0.010723
668857,263.404,0.00987557
668856,263.404,0.00987557
668862,263.511,0.0111315
668861,263.511,0.0111315
668859,263.511,0.0097621
668858,263.511,0.0097621
668857,263.511,0.00995302
668856,263.511,0.00995302
668862,263.618,0.0101326
668861,263.618,0.0101326
668859,263.618,0.0098726
668858,263.618,0.0098726
668857,263.618,0.0115377
668856,263.618,0.0115377
668862,263.725,0.00995871
668861,263.725,0.00995871
668859,263.725,0.011265
668858,263.725,0.011265
668857,263.725,0.00988808
668856,263.725,0.00988808
668862,263.833,0.00825617
668861,263.833,0.00825617
668859,263.833,0.00986368
668858,263.833,0.00986368
668857,263.833,0.0101425
668856,263.833,0.0101425
668862,263.939,0.00934154
668861,263.939,0.00934154
668859,263.94,0.0116119
668858,263.94,0.0116119
668857,263.94,0.00840899
668856,263.94,0.00840899
668862,264.047,0.00972695
668861,264.047,0.00972695
668859,264.047,0.0129384
668858,264.047,0.0129384
668857,264.047,0.00849975
668856,264.047,0.00849975
668862,264.154,0.0173348
668861,264.154,0.0173348
668859,264.154,0.0116799
668858,264.154,0.0116799
668857,264.154,0.00854664
668856,264.154,0.00854664
668862,264.262,0.0100937
668861,264.262,0.0100937
668859,264.262,0.00823073
668858,264.262,0.00823073
668857,264.262,0.0208428
668856,264.262,0.0208428
668862,264.368,0.00902502
668861,264.368,0.00902502
668859,264.369,0.00932698
668858,264.369,0.00932698
668857,264.369,0.0186345
668856,264.369,0.0186345
668862,264.476,0.010754
668861,264.476,0.010754
668859,264.476,0.0106041
668858,264.476,0.0106041
668857,264.476,0.00847666
668856,264.476,0.00847666
668862,264.583,0.0121233
668861,264.583,0.0121233
668859,264.583,0.00861432
668858,264.583,0.00861432
668857,264.583,0.00906069
668856,264.583,0.00906069
668862,264.69,0.014578
668861,264.69,0.014578
668859,264.69,0.0107294
668858,264.691,0.0107294
668857,264.691,0.00822021
668856,264.691,0.00822021
668862,264.797,0.00813507
668861,264.797,0.00813507
668859,264.797,0.00943137
668858,264.798,0.00943137
668857,264.798,0.00818235
668856,264.798,0.00818235
668862,264.905,0.00883488
668861,264.905,0.00883488
668859,264.905,0.0127583
668858,264.905,0.0127583
668857,264.905,0.00833205
668856,264.905,0.00833205
668862,265.012,0.0158927
668861,265.012,0.0158927
668859,265.012,0.0118349
668858,265.012,0.0118349
668857,265.012,0.00800386
668856,265.012,0.00800386
668862,265.119,0.00795806
668861,265.119,0.00795806
668859,265.119,0.00845541
668858,265.12,0.00845541
668857,265.12,0.0106541
668856,265.12,0.0106541
668862,265.227,0.0101861
668861,265.227,0.0101861
668859,265.227,0.00810333
668858,265.227,0.00810333
668857,265.227,0.0228789
668856,265.227,0.0228789
668862,265.334,0.0137725
668861,265.334,0.0137725
668859,265.334,0.00807267
668858,265.334,0.00807267
668857,265.334,0.0130491
668856,265.334,0.0130491
668862,265.441,0.00800795
668861,265.441,0.00800795
668859,265.441,0.00971945
668858,265.441,0.00971945
668857,265.441,0.0112715
668856,265.441,0.0112715
668862,265.548,0.0122137
668861,265.548,0.0122137
668859,265.548,0.00836988
668858,265.548,0.00836988
668857,265.548,0.00824923
668856,265.548,0.00824923
668862,265.656,0.00799939
668861,265.656,0.00799939
668859,265.656,0.00989636
668858,265.656,0.00989636
668857,265.656,0.00847299
668856,265.656,0.00847299
668862,265.763,0.0095221
668861,265.763,0.0095221
668859,265.763,0.0123908
668858,265.763,0.0123908
668857,265.763,0.0103398
668856,265.763,0.0103398
668862,265.87,0.00802306
668861,265.87,0.00802306
668859,265.87,0.0133606
668858,265.87,0.0133606
668857,265.87,0.008417
668856,265.87,0.008417
668862,265.977,0.0129901
668861,265.977,0.0129901
668859,265.977,0.0117079
668858,265.977,0.0117079
668857,265.977,0.00974946
668856,265.977,0.00974946
668862,266.085,0.00809066
668861,266.085,0.00809066
668859,266.085,0.0240873
668858,266.085,0.0240873
668857,266.085,0.00854741
668856,266.085,0.00854741
668862,266.192,0.00985282
668861,266.192,0.00985282
668859,266.192,0.0103956
668858,266.192,0.0103956
668857,266.192,0.00957329
668856,266.192,0.00957329
668862,266.299,0.0104322
668861,266.299,0.0104322
668859,266.299,0.00738425
668858,266.299,0.00738425
668857,266.299,0.00729101
668856,266.299,0.00729101
668862,266.406,0.0101071
668861,266.406,0.0101071
668859,266.406,0.0139765
668858,266.406,0.0139765
668857,266.407,0.0073303
668856,266.407,0.0073303
668862,266.513,0.0103776
668861,266.513,0.0103776
668859,266.513,0.00806163
668858,266.513,0.00806163
668857,266.514,0.00737636
668856,266.514,0.00737636
668862,266.621,0.00905176
668861,266.621,0.00905176
668859,266.621,0.00884459
668858,266.621,0.00884459
668857,266.621,0.0104584
668856,266.621,0.0104584
668862,266.728,0.00888617
668861,266.728,0.00888617
668859,266.728,0.0131029
668858,266.728,0.0131029
668857,266.728,0.0102751
668856,266.729,0.0102751
668862,266.835,0.00953679
668861,266.835,0.00953679
668859,266.835,0.00818626
668858,266.835,0.00818626
668857,266.835,0.00955135
668856,266.836,0.00955135
668862,266.942,0.00811459
668861,266.942,0.00811459
668859,266.942,0.00801447
